,MOF,Solv_remove,Formula,Type,Node-file
6563,c9cc09664g2_1,ASR,C4O8Pb2,Type-1,c9cc09664g2_1_ASR_pacman_node0
6564,c9cc09664g2_1,FSR,C4O8Pb2,Type-1,c9cc09664g2_1_FSR_pacman_node0
10084,c9cc09664g2_2,ASR,C8O16Pb2Zn2,Type-1,c9cc09664g2_2_ASR_pacman_node0
10085,c9cc09664g2_2,FSR,C8O16Pb2Zn2,Type-1,c9cc09664g2_2_FSR_pacman_node0
3649,c9ce00005d2,ASR,C2O4Zn1,Type-1,c9ce00005d2_ASR_pacman_node0
3650,c9ce00005d2,FSR,C2O4Zn1,Type-1,c9ce00005d2_FSR_pacman_node0
7445,c9ce00073a2_6,ASR,C4O8Zn4,Type-1,c9ce00073a2_6_ASR_pacman_node0
18318,c9ce00098d2_1,ASR,Zn1,Type-1,c9ce00098d2_1_ASR_pacman_node0
18319,c9ce00098d2_1,FSR,Zn1,Type-1,c9ce00098d2_1_FSR_pacman_node0
15254,c9ce00098d2_2,ASR,Mg3,Type-1,c9ce00098d2_2_ASR_pacman_node0
15255,c9ce00098d2_2,FSR,Mg3,Type-1,c9ce00098d2_2_FSR_pacman_node0
10818,c9ce00113a1,ASR,Cd1,Type-1,c9ce00113a1_ASR_pacman_node0
10819,c9ce00113a1,FSR,Cd1,Type-1,c9ce00113a1_FSR_pacman_node0
7914,c9ce00129h2_2,ASR,C6Co3O12,Type-1,c9ce00129h2_2_ASR_pacman_node0
7915,c9ce00129h2_2,FSR,C6Co3O12,Type-1,c9ce00129h2_2_FSR_pacman_node0
9959,c9ce00227h2_1,ASR,C8H4N4O4Zn2,Type-1,c9ce00227h2_1_ASR_pacman_node0
9960,c9ce00227h2_1,FSR,C8H4N4O4Zn2,Type-1,c9ce00227h2_1_FSR_pacman_node0
9758,c9ce00371a2_2,ASR,C8Co4H4O18,Type-1,c9ce00371a2_2_ASR_pacman_node0
9760,c9ce00371a2_2,FSR,C8Co4H8O20,Type-1,c9ce00371a2_2_FSR_pacman_node0
5745,c9ce00371a2_3,ASR,C4Cu2O8,Type-1,c9ce00371a2_3_ASR_pacman_node0
5073,c9ce00371a2_3,FSR,C4Cu2H4O10,Type-1,c9ce00371a2_3_FSR_pacman_node0
5746,c9ce00371a2_4,ASR,C4Cu2O8,Type-1,c9ce00371a2_4_ASR_pacman_node0
5074,c9ce00371a2_4,FSR,C4Cu2H4O10,Type-1,c9ce00371a2_4_FSR_pacman_node0
5747,c9ce00371a2_4,FSR,C4Cu2O8,Type-1,c9ce00371a2_4_FSR_pacman_node1
10820,c9ce00371a2_5,ASR,Cd1,Type-1,c9ce00371a2_5_ASR_pacman_node0
10821,c9ce00371a2_5,FSR,Cd1,Type-1,c9ce00371a2_5_FSR_pacman_node0
4804,c9ce00418a4_1,ASR,C4Co2O8,Type-1,c9ce00418a4_1_ASR_pacman_node0
4805,c9ce00418a4_1,FSR,C4Co2O8,Type-1,c9ce00418a4_1_FSR_pacman_node0
10317,c9ce00421a2_4,ASR,C9Cu3H6N6O1,Type-1,c9ce00421a2_4_ASR_pacman_node0
10318,c9ce00421a2_4,FSR,C9Cu3H6N6O1,Type-1,c9ce00421a2_4_FSR_pacman_node0
7605,c9ce00732f2_1,ion,C6Cd2Na1O12,Type-1,c9ce00732f2_1_ion_pacman_node0
7215,c9ce00825j2_4,ASR,C4O8Zn2,Type-1,c9ce00825j2_4_ASR_pacman_node0
7216,c9ce00825j2_4,FSR,C4O8Zn2,Type-1,c9ce00825j2_4_FSR_pacman_node0
1938,c9ce00988d2_2,ASR,C2Cd1O4,Type-1,c9ce00988d2_2_ASR_pacman_node0
1939,c9ce00988d2_2,FSR,C2Cd1O4,Type-1,c9ce00988d2_2_FSR_pacman_node0
10822,c9ce00998a2_4,ASR,Cd1,Type-1,c9ce00998a2_4_ASR_pacman_node0
10823,c9ce00998a2_4,FSR,Cd1,Type-1,c9ce00998a2_4_FSR_pacman_node0
10824,c9ce00998a2_5,ASR,Cd1,Type-1,c9ce00998a2_5_ASR_pacman_node0
10825,c9ce00998a2_5,FSR,Cd1,Type-1,c9ce00998a2_5_FSR_pacman_node0
5748,c9ce01018a2_1,ASR,C4Cu2O8,Type-1,c9ce01018a2_1_ASR_pacman_node0
5749,c9ce01035a2,ASR,C4Cu2O8,Type-1,c9ce01035a2_ASR_pacman_node0
5075,c9ce01035a2,FSR,C4Cu2H4O10,Type-1,c9ce01035a2_FSR_pacman_node0
12815,c9ce01041f2_1,ASR,Cu1,Type-1,c9ce01041f2_1_ASR_pacman_node0
12816,c9ce01041f2_1,FSR,Cu1,Type-1,c9ce01041f2_1_FSR_pacman_node0
1940,c9ce01045a2_2,ASR,C2Cd1O4,Type-1,c9ce01045a2_2_ASR_pacman_node0
1618,c9ce01045a2_2,FSR,C2Cd1H4O6,Type-1,c9ce01045a2_2_FSR_pacman_node0
2726,c9ce01060b2_10,FSR,C2H4Ni1O6,Type-1,c9ce01060b2_10_FSR_pacman_node0
1941,c9ce01087d2,ASR,C2Cd1O4,Type-1,c9ce01087d2_ASR_pacman_node0
1942,c9ce01087d2,FSR,C2Cd1O4,Type-1,c9ce01087d2_FSR_pacman_node0
6024,c9ce01107b2,ASR,C4Gd1O8,Type-1,c9ce01107b2_ASR_pacman_node0
18320,c9ce01107b2,ASR,Zn1,Type-1,c9ce01107b2_ASR_pacman_node1
6025,c9ce01107b2,FSR,C4Gd1O8,Type-1,c9ce01107b2_FSR_pacman_node0
18321,c9ce01107b2,FSR,Zn1,Type-1,c9ce01107b2_FSR_pacman_node1
1070,c9ce01245a2_1,ASR,C12O24Pr4,Type-1,c9ce01245a2_1_ASR_pacman_node0
963,c9ce01245a2_1,FSR,C12H16O32Pr4,Type-1,c9ce01245a2_1_FSR_pacman_node0
4806,c9ce01309a2_3,ASR,C4Co2O8,Type-1,c9ce01309a2_3_ASR_pacman_node0
