mof_name,bound_solvent_MetalOxo,free_solvent_MetalOxo,mofid,type
WEFCAN_ASR_pacman,Yes,No,[Fe].n1ccc(cc1)OCC(COc1ccncc1)(COc1ccncc1)COc1ccncc1 MOFid-v1.pts.cat0;WEFCAN_ASR_pacman,ASR
OXALOP_ASR_pacman,Yes,Yes,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].[Y].[Y][Y] MOFid-v1.UNKNOWN.cat0;OXALOP_ASR_pacman,ASR
LOQSUG_ASR_pacman,Yes,No,O=C(c1ccccc1OCC(COc1ccccc1C(=O)NCc1ccccc1)(COc1ccccc1C(=O)NCc1ccccc1)COc1ccccc1C(=O)NCc1ccccc1)NCc1ccccc1.[Er] MOFid-v1.ctn.cat0;LOQSUG_ASR_pacman,ASR
OSATIO_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;OSATIO_ASR_pacman,ASR
oc7b00169_si_002_1_ASR_pacman,Yes,No,[Al]1[OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH][Al][OH]1.[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.fon.cat0;oc7b00169_si_002_1_ASR_pacman,ASR
LAFRIV_ASR_pacman,Yes,No,[Co].c1ccc(cn1)C1=NC(=[N]=C([N]1)c1cccnc1)c1cccnc1 MOFid-v1.UNKNOWN.cat0;LAFRIV_ASR_pacman,ASR
LAMSIE_ASR_pacman,Yes,No,[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.sql.cat1;LAMSIE_ASR_pacman,ASR
LIJNIE_ASR_pacman,Yes,No,[Cd].c1ccc2c(c1)n(cn2)c1ccc(cc1)c1ccc(cc1)n1cnc2c1cccc2 MOFid-v1.cds.cat1;LIJNIE_ASR_pacman,ASR
LODKIA_ASR_pacman,Yes,No,[Cd].[O-]C(=O)c1cc(c2ccc(cc2)C(=O)[O-])c(cc1C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.UNKNOWN.cat0;LODKIA_ASR_pacman,ASR
LIJXEI_ASR_pacman,Yes,No,[Cd][OH]([Cd][OH]([Cd])[Cd])[Cd].[O-]C(=O)C.[O-]C(=O)c1cc2ccccc2c(c1O)Cc1c(O)c(cc2c1cccc2)C(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.UNKNOWN.cat0;LIJXEI_ASR_pacman,ASR
