cifname,mofid
REXDUV_FSR_pacman,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.ths.cat1;REXDUV_FSR_pacman
RACHUA01_FSR_pacman,* MOFid-v1.NA.NA;RACHUA01_FSR_pacman
REZFEK_FSR_pacman,[Mn].[O-]C(=O)c1cc(c2cccc(c2)C(=O)[O-])c(cc1c1cccc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.sra.cat0;REZFEK_FSR_pacman
REJLEY_FSR_pacman,[Co].[O-]C(=O)C1=C([N]C=N1)C(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.UNKNOWN.cat0;REJLEY_FSR_pacman
REXFUX_FSR_pacman,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.ths.cat1;REXFUX_FSR_pacman
REYBAA_FSR_pacman,"[O-]C(=O)c1cc(OCc2ccc(cc2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn].n1ccc(cc1)[N][N]c1ccncc1 MOFid-v1.kgm,UNKNOWN.cat0;REYBAA_FSR_pacman"
ROYMOJ_FSR_pacman,[Cd].[O-]C(=O)c1ccc(cc1)C1=C(SC(=C2SC(=C(S2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])S1)c1ccc(cc1)C(=O)[O-].[O][Cd][OH2] MOFid-v1.ERROR.cat0;ROYMOJ_FSR_pacman
RORWED_FSR_pacman,* MOFid-v1.NA.NA;RORWED_FSR_pacman
REJLIC_FSR_pacman,[Co].[O-]C(=O)C1=C([N]C=N1)C(=O)[O-].[O-]C(=O)C1=NC=N[C]1C(=O)[O-].n1ccc(cc1)c1nnc(s1)c1ccncc1 MOFid-v1.UNKNOWN.cat0;REJLIC_FSR_pacman
RANNUS_FSR_pacman,OC(P(=O)(O)[O])c1ccc(cc1)C(P(=O)(O)[O])O.OC(P(=O)(O)[O])c1ccc(cc1)C(P(=O)([O])O)O.[OH2][Nd] MOFid-v1.UNKNOWN.cat0;RANNUS_FSR_pacman
RUBBOH_FSR_pacman,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;RUBBOH_FSR_pacman
ROKRUH_FSR_pacman,"[Ni]O[Ni].[O-]C(=O)c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-] MOFid-v1.pts,UNKNOWN.cat0;ROKRUH_FSR_pacman"
RORSID06_FSR_pacman,* MOFid-v1.NA.NA;RORSID06_FSR_pacman
RUWXEN_FSR_pacman,[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][La][OH2] MOFid-v1.ERROR.cat0;RUWXEN_FSR_pacman
REWTOF_FSR_pacman,[O-]C(=O)c1cncc(c1)C(=O)[O-].[O].[Pr] MOFid-v1.ERROR.cat0;REWTOF_FSR_pacman
REXCII_FSR_pacman,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.ths.cat1;REXCII_FSR_pacman
RESSAK_FSR_pacman,[O-]C(=O)c1c(cccc1C(=O)[O-])Sc1cccc(c1C(=O)[O-])C(=O)[O-].[OH2][Ni].n1ccc(cc1)c1ccncc1 MOFid-v1.UNKNOWN.cat0;RESSAK_FSR_pacman
RUFRIV_FSR_pacman,[O-]C(=O)c1cccc(c1)C(=O)[O-].[OH2][Zn].[O]CCN(CCO)CC[O].[Zn] MOFid-v1.bnn.cat0;RUFRIV_FSR_pacman
RAYLUA_FSR_pacman,O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn] MOFid-v1.ERROR.cat0;RAYLUA_FSR_pacman
RORSID05_FSR_pacman,* MOFid-v1.NA.NA;RORSID05_FSR_pacman
RAYLOU_FSR_pacman,O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1cc(cc(c1)N(=O)=O)C(=O)[O-].[Zn] MOFid-v1.ERROR.cat0;RAYLOU_FSR_pacman
RUYVAK_FSR_pacman,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O][Ce] MOFid-v1.UNKNOWN.cat0;RUYVAK_FSR_pacman
RUXKUS_FSR_pacman,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)CCCC(=O)[O-] MOFid-v1.ftb.cat0;RUXKUS_FSR_pacman
RUWWOW01_FSR_pacman,[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][La][OH2] MOFid-v1.ERROR.cat0;RUWWOW01_FSR_pacman
RERJEG_FSR_pacman,Cl[Fe]Cl.n1cnn(c1)c1ccc(cc1)Oc1ccc(cc1)n1ncnc1 MOFid-v1.sql.cat1;RERJEG_FSR_pacman
RAVVOA01_FSR_pacman,[Co].[O-]C=O MOFid-v1.met.cat0;RAVVOA01_FSR_pacman
RIXBIK_FSR_pacman,[O-]C(=O)CNS(=O)(=O)c1cccc(c1)C(=O)[O-].[OH2][Mn].n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat0;RIXBIK_FSR_pacman
